pickup_datetime,passenger_count,pk_id,dp_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,payment_type,total_amount,tip_amount,trip_distance
2011-02-01 00:07:00,1,1985,1942,-74.00387499999998,40.737633,-73.991967,40.735262,4.5,CRD,6.5,1.0,0.8
2011-02-01 00:07:00,1,2744,752,-73.960052,40.773553,-73.96294499999999,40.763304999999995,4.5,CSH,5.5,,0.94
2011-02-01 00:07:00,2,1490,1117,-73.99849299999998,40.745335,-73.986563,40.761263,4.9,CSH,5.9,,1.29
2011-02-01 00:07:00,1,3927,1046,-73.999553,40.728393,-73.987728,40.721313,5.7,CRD,7.7,1.0,0.9
2011-02-01 00:07:00,5,2906,405,-73.974873,40.755722,-73.950815,40.77145,7.7,CRD,10.5,1.8,2.12
2011-02-01 00:07:00,1,3177,2143,-74.00101999999998,40.725597,-73.983492,40.738392,6.5,CRD,8.5,1.0,0.17
2011-02-01 00:07:00,3,2103,4181,-73.984645,40.759622,-73.97905699999998,40.750743,5.3,CSH,6.3,,0.94
2011-02-01 00:07:00,1,715,1050,-73.992638,40.719868,-73.98434299999998,40.720465000000004,4.1,CSH,5.1,,0.76
2011-02-01 00:07:00,1,2940,2140,-73.99832999999998,40.724963,-74.0102,40.71148,5.7,CRD,7.2,0.5,1.23
2011-02-01 00:07:00,6,4313,3257,-73.98690699999999,40.739657,-73.99415,40.731332,4.9,CSH,5.9,,0.9900000000000002
2011-02-01 00:07:00,1,2748,2301,-73.99652299999998,40.758134999999996,-73.96735699999999,40.798257,8.5,CSH,9.5,,3.19
2011-02-01 00:07:00,1,2042,148,-73.957475,40.770302,-73.97651999999998,40.725453,11.7,CSH,12.7,,3.78
2011-02-01 00:07:00,2,2269,2931,-73.99718199999998,40.722198,-73.97913199999999,40.74438,9.3,CRD,11.3,1.0,1.87
2011-02-01 00:07:00,1,2484,866,-73.977823,40.75225,-73.99865699999998,40.760998,6.1,CSH,7.1,,1.24
2011-02-01 00:07:00,3,1172,1182,-73.94503,40.82412,-73.939713,40.83437,4.5,CRD,6.0,0.5,0.81
2011-02-01 00:07:00,1,917,806,-73.984775,40.77953,-73.99103499999998,40.745453000000005,10.1,CSH,11.1,,3.13
2011-02-01 00:07:00,1,2371,1675,-73.97435199999998,40.747097,-73.980198,40.738858,4.1,CSH,5.1,,0.66
2011-02-01 00:07:00,1,495,2069,-73.99755999999998,40.724323,-73.99687799999998,40.742992,6.1,CSH,7.1,,1.68
2011-02-01 00:07:00,1,1873,1571,-73.992322,40.715127,-74.00955,40.723517,7.3,CRD,9.5,1.2,1.5
2011-02-01 00:07:00,1,3834,1521,-73.979748,40.784003000000006,-73.954885,40.804973,8.5,CSH,9.5,,2.33
2011-02-01 00:07:00,5,519,3838,-73.982667,40.775535,-73.970788,40.795133,5.3,CSH,6.3,,1.36
2011-02-01 00:07:00,1,2996,1682,-73.949247,40.785540000000005,-73.94339499999998,40.789382,8.099999999999998,CSH,9.1,,1.05
2011-02-01 00:07:00,1,2882,1571,-74.001812,40.728452000000004,-74.00959299999998,40.723207,4.9,CRD,7.0,1.1,0.9
2011-02-01 00:07:00,1,1485,2991,-74.00229799999998,40.73997,-73.95654999999998,40.775473,12.1,CRD,15.1,2.0,4.22
2011-02-01 00:07:02,1,817,2110,-73.985591,40.752824,-73.981312,40.764396999999995,4.5,CSH,5.5,,0.9
2011-02-01 00:07:02,1,1946,1962,-73.961866,40.771117,-73.973037,40.755883000000004,4.9,CSH,5.9,,1.2
2011-02-01 00:07:04,1,1117,4292,-73.986665,40.761593,-73.98155699999998,40.774440999999996,4.9,CSH,5.9,,1.1
2011-02-01 00:07:05,1,2564,2021,-73.99044399999998,40.76093,-73.991686,40.749674,4.9,CSH,5.9,,1.0
2011-02-01 00:07:06,1,4418,4521,-74.003539,40.732257000000004,-73.98844799999999,40.722751,5.7,CSH,6.7,,1.1
2011-02-01 00:07:06,1,462,1958,-73.98395699999999,40.761633,-73.97918,40.782169,6.5,CSH,7.5,,1.7
2011-02-01 00:07:06,1,798,1226,-73.99579799999998,40.738484,-74.00136399999998,40.733845,4.9,CRD,6.78,0.88,1.0
2011-02-01 00:07:07,1,4030,4323,-73.986699,40.722238,-74.00253599999999,40.733776,6.1,CRD,9.1,2.0,1.1
2011-02-01 00:07:07,2,1460,2035,-73.99205499999998,40.74942,-73.999274,40.73003,6.1,CRD,8.16,1.06,1.6
2011-02-01 00:07:09,1,779,1988,-74.00512899999998,40.722062,-73.98424399999999,40.736802000000004,8.099999999999998,CRD,10.46,1.36,2.0
2011-02-01 00:07:11,4,981,2565,-73.99320999999999,40.736802000000004,-73.990492,40.761576,8.5,CSH,9.5,,2.2
2011-02-01 00:07:11,1,1623,742,-74.00865,40.720113,-73.97981799999998,40.739917,10.1,CSH,11.1,,3.0
2011-02-01 00:07:12,1,1578,674,-74.009814,40.722044,-74.011376,40.715024,3.7,CSH,4.7,,0.5
2011-02-01 00:07:13,1,4105,2820,-73.96307199999998,40.758552,-73.94857299999998,40.788584,7.3,CSH,8.3,,2.3
2011-02-01 00:07:14,1,748,1315,-73.969536,40.766265000000004,-73.954555,40.78667,5.7,CSH,6.7,,1.6
2011-02-01 00:07:15,1,3555,2268,-73.9901,40.719256,-73.99473899999998,40.721284999999995,3.3,CRD,4.94,0.64,0.3
2011-02-01 00:07:16,1,1491,1510,-73.997473,40.746649,-73.984909,40.764164,6.1,CSH,7.1,,1.3
2011-02-01 00:07:16,1,2106,816,-73.98294699999998,40.761611,-73.986455,40.752528999999996,4.1,CSH,5.1,,0.8
2011-02-01 00:07:17,1,2744,2563,-73.96003499999999,40.773655,-73.99234799999999,40.758813,9.3,CSH,10.3,,2.7
2011-02-01 00:07:18,1,4278,825,-73.991389,40.750283,-73.98189599999999,40.758174,5.7,CSH,6.7,,1.3
2011-02-01 00:07:18,1,4402,4248,-73.972604,40.764045,-73.944204,40.824813,14.5,CRD,19.37,3.87,5.1
2011-02-01 00:07:19,1,2186,3285,-73.987211,40.733102,-74.008511,40.73482,6.9,CRD,8.9,1.0,1.7
2011-02-01 00:07:20,1,1510,1265,-73.98496699999998,40.764016999999996,-73.99983299999998,40.725605,10.1,CSH,11.1,,3.3
2011-02-01 00:07:22,1,2733,1460,-73.980817,40.742089,-73.99216599999998,40.749147,5.3,CSH,6.3,,0.8
2011-02-01 00:07:23,1,1619,997,-74.008891,40.718337,-73.98865,40.768318,11.3,CRD,14.3,2.0,3.9
2011-02-01 00:07:27,1,4528,1502,-73.98523299999998,40.727653000000004,-73.99003999999998,40.757089,9.3,CSH,10.3,,2.9
2011-02-01 00:07:28,1,2799,1237,-73.97289999999998,40.756345,-73.995947,40.730857,8.5,CSH,9.5,,2.4
2011-02-01 00:07:28,1,4418,2136,-74.003473,40.732354,-74.004338,40.707376000000004,6.9,CRD,8.9,1.0,2.0
2011-02-01 00:07:29,1,2002,2778,-73.99860599999998,40.740303999999995,-74.01599899999998,40.715171999999995,7.3,CSH,8.3,,2.2
2011-02-01 00:07:30,1,902,3934,-73.984421,40.728936,-73.981577,40.736471,3.7,CSH,4.7,,0.6
2011-02-01 00:07:30,1,2487,900,-73.976055,40.755845,-73.98869999999998,40.730613,7.7,CRD,10.44,1.74,2.1
2011-02-01 00:07:30,1,2106,2185,-73.982276,40.761737,-73.99007299999998,40.734484,8.099999999999998,CRD,10.46,1.36,2.4
2011-02-01 00:07:32,2,827,3833,-73.981098,40.759242,-73.98258199999998,40.778132,6.9,CRD,8.9,1.0,1.7
2011-02-01 00:07:35,1,1489,2675,-74.000291,40.742892,-73.98612199999998,40.744269,5.3,CRD,7.24,0.94,1.2
2011-02-01 00:07:35,2,1473,2807,-73.952658,40.776657,-73.96488499999998,40.766637,5.7,CRD,11.7,5.0,1.1
2011-02-01 00:07:39,1,3922,1318,-73.995377,40.726308,-73.94981099999998,40.784671,14.9,CSH,15.9,,4.8
2011-02-01 00:07:39,1,641,1443,-73.954166,40.778933,-73.95917,40.799268,6.9,CRD,9.08,1.18,1.9
2011-02-01 00:07:40,1,1512,3844,-73.98406699999998,40.765268,-73.967579,40.800331,8.9,CSH,9.9,,2.9
2011-02-01 00:07:44,1,568,2445,-73.955079,40.820312,-73.96781699999998,40.79295,9.3,CSH,10.3,,2.2
2011-02-01 00:07:44,1,1011,2367,-73.962016,40.763887,-73.97723399999998,40.742975,6.5,CSH,7.5,,1.6
2011-02-01 00:07:46,1,3263,628,-73.987994,40.737654,-73.922948,40.866696999999995,26.5,CSH,27.5,,10.9
2011-02-01 00:07:47,1,4417,386,-74.00295099999998,40.732589000000004,-74.009128,40.704534,10.1,CSH,11.1,,2.6
2011-02-01 00:07:48,1,3244,2389,-73.960915,40.761685,-73.96032099999998,40.767046,3.7,CRD,5.4,0.7,0.5
2011-02-01 00:07:52,2,948,700,-74.00641,40.739568,-73.956879,40.766276,13.3,CRD,16.44,2.14,4.2
2011-02-01 00:07:53,2,4316,803,-73.983868,40.743984999999995,-73.99263999999998,40.742857,4.9,CSH,5.9,,0.8
2011-02-01 00:07:54,1,3203,889,-73.984995,40.724227,-74.00338399999998,40.733108,8.099999999999998,CRD,10.0,0.9,1.7
2011-02-01 00:07:54,1,2021,2382,-73.991725,40.750012,-73.96714199999998,40.757587,8.9,CSH,9.9,,2.4
2011-02-01 00:07:55,3,2940,1401,-73.99845899999998,40.724809,-73.97913599999998,40.747059,8.9,CRD,11.88,1.98,2.2
2011-02-01 00:07:56,1,554,2264,-73.966809,40.804361,-73.94946999999999,40.832167,7.7,CSH,8.699999999999998,,2.2
2011-02-01 00:07:57,1,825,2289,-73.98170999999999,40.758384,-73.975702,40.786928,8.5,CRD,11.4,1.9,2.3
2011-02-01 00:07:58,1,2098,1795,-73.987413,40.754933,-73.98534499999998,40.723781,9.7,CRD,11.7,1.0,2.9
2011-02-01 00:08:00,1,3989,900,-73.99204499999999,40.725455,-73.989035,40.730505,3.3,CRD,6.3,2.0,0.39
2011-02-01 00:08:00,1,910,1789,-73.989125,40.773582,-73.980913,40.787695,5.3,CSH,6.3,,1.19
2011-02-01 00:08:00,5,2161,2374,-73.97336699999998,40.757535,-73.972272,40.749715,6.1,CSH,7.1,,1.63
2011-02-01 00:08:00,2,390,414,-73.957243,40.761996999999994,-73.94623799999998,40.777147,5.3,CSH,6.3,,1.19
2011-02-01 00:08:00,1,4021,3197,-74.00060999999998,40.727247,-73.984155,40.729162,6.1,CRD,8.099999999999998,1.0,0.13
2011-02-01 00:08:00,3,3768,2699,-73.96725499999998,40.766605,-73.963643,40.774245,4.9,CRD,7.5,1.6,0.8199999999999998
2011-02-01 00:08:00,1,2484,1495,-73.978105,40.75229,-73.993452,40.752557,5.7,CSH,6.7,,1.19
2011-02-01 00:08:00,2,2407,642,-73.94524799999999,40.786633,-73.95178799999998,40.77773,4.1,CSH,5.1,,0.75
2011-02-01 00:08:00,5,2163,699,-73.970428,40.756617999999996,-73.959248,40.767604999999996,5.3,CSH,6.3,,1.09
2011-02-01 00:08:00,1,4334,1475,-73.94508,40.783287,-73.946157,40.773802,4.5,CSH,5.5,,0.81
2011-02-01 00:08:00,2,1694,999,-73.97116,40.758363,-74.00818499999998,40.715065,12.1,CRD,15.1,2.0,3.8
2011-02-01 00:08:00,1,560,943,-73.96185199999998,40.811065,-73.970442,40.799132,4.9,CRD,6.9,1.0,1.04
2011-02-01 00:08:00,1,1398,4238,-73.984277,40.748845,-74.00504699999999,40.721517,8.5,CSH,9.5,,2.65
2011-02-01 00:08:00,1,2787,1099,-73.981055,40.744602,-73.994003,40.724740000000004,6.9,CSH,7.9,,1.67
2011-02-01 00:08:00,1,764,1738,-73.99764,40.721508,-73.987623,40.732597,6.1,CSH,7.1,,1.03
2011-02-01 00:08:00,1,528,986,-73.97995999999999,40.784058,-74.008098,40.738918,11.7,CRD,14.0,1.3,3.88
2011-02-01 00:08:00,1,1324,3918,-73.98593199999999,40.7271,-73.992277,40.725207,3.7,CSH,4.7,,0.55
2011-02-01 00:08:00,2,157,2603,-74.009112,40.704102,-73.972548,40.743358,14.9,CRD,18.98,3.08,5.0
2011-02-01 00:08:00,1,460,2497,-73.98523199999998,40.760302,-73.997585,40.756446999999994,5.7,CRD,8.699999999999998,2.0,0.11
2011-02-01 00:08:00,1,329,326,-73.999677,40.743608,-73.990995,40.739653000000004,4.5,CSH,5.5,,0.7
2011-02-01 00:08:00,1,2296,1160,-73.970045,40.794637,-73.952292,40.811537,6.5,CSH,7.5,,1.81
2011-02-01 00:08:00,2,398,749,-73.953777,40.766993,-73.968017,40.765217,5.7,CSH,6.7,,1.15
2011-02-01 00:08:00,1,2940,885,-73.99878299999999,40.724773,-74.004778,40.73021,5.3,CRD,7.05,0.75,1.14
2011-02-01 00:08:00,2,1488,857,-74.001408,40.741842999999996,-74.003693,40.753398,6.1,CSH,7.1,,1.69
2011-02-01 00:08:00,3,3918,2607,-73.992405,40.725307,-73.97999799999998,40.743442,7.7,CSH,8.699999999999998,,1.41
2011-02-01 00:08:00,1,2364,786,-73.97900699999998,40.740534999999994,-74.002353,40.729552000000005,6.9,CRD,8.9,1.0,2.09
2011-02-01 00:08:00,1,830,2485,-73.979563,40.761146999999994,-73.97770699999998,40.753612,4.1,CSH,5.1,,0.76
2011-02-01 00:08:00,4,518,2564,-73.982393,40.774535,-73.990385,40.760862,4.9,CRD,7.9,2.0,1.08
2011-02-01 00:08:00,1,2071,1031,-73.99390799999999,40.74583,-73.992868,40.725443,7.3,CSH,8.3,,1.94
2011-02-01 00:08:00,1,1267,4000,-73.99661299999998,40.729642999999996,-73.98144,40.768642,13.3,CRD,15.3,1.0,3.95
2011-02-01 00:08:00,1,650,2621,-74.000438,40.737563,-73.99345699999999,40.727955,5.3,CRD,8.3,2.0,0.94
2011-02-01 00:08:00,1,462,2297,-73.98367299999998,40.761322,-73.96872999999998,40.796258,9.3,CRD,12.3,2.0,3.12
2011-02-01 00:08:00,5,3747,3245,-73.974315,40.75692,-73.95233299999998,40.772103,7.7,CRD,10.2,1.5,1.98
2011-02-01 00:08:00,3,2478,3615,-73.99053499999998,40.740415000000006,-73.97806,40.751673,5.7,CSH,6.7,,1.33
2011-02-01 00:08:00,1,154,3987,-74.00865999999999,40.704225,-73.991573,40.726737,7.3,CSH,8.3,,1.85
2011-02-01 00:08:00,1,513,2866,-73.98224,40.770823,-73.95097199999998,40.774817,9.7,CRD,12.7,2.0,2.52
2011-02-01 00:08:01,2,2274,1505,-74.005525,40.725665,-73.98747899999998,40.760294,8.9,CRD,11.88,1.98,2.9
2011-02-01 00:08:01,1,1270,890,-73.991523,40.754814,-74.00333499999999,40.733565999999996,6.9,CSH,7.9,,1.9
2011-02-01 00:08:04,2,2924,2133,-74.009901,40.735282,-73.98920699999998,40.763632,7.7,CRD,8.699999999999998,,2.4
2011-02-01 00:08:05,1,2682,2745,-73.98043099999998,40.751326,-73.958304,40.772852,6.9,CSH,7.9,,2.2
2011-02-01 00:08:05,1,4020,401,-73.99856,40.726215,-73.95245600000001,40.768765,16.5,CSH,17.5,,5.9
2011-02-01 00:08:06,1,337,2454,-73.99809599999999,40.745969,-73.98861999999998,40.723225,8.9,CSH,9.9,,2.5
2011-02-01 00:08:10,1,822,2694,-73.98338099999998,40.756177,-73.971098,40.76435,4.9,CRD,6.78,0.88,1.0
2011-02-01 00:08:11,1,2978,1607,-73.97431299999998,40.750941999999995,-73.92743299999998,40.851574,23.7,CSH,24.7,,10.1
2011-02-01 00:08:12,1,365,1495,-74.00134699999998,40.751515999999995,-73.993121,40.752026,4.1,CSH,5.1,,0.5
2011-02-01 00:08:13,1,2006,337,-73.981713,40.732614,-73.998109,40.745834,6.9,CSH,7.9,,1.5
2011-02-01 00:08:14,1,1045,902,-73.98850899999998,40.721521,-73.98463099999998,40.728664,4.1,CRD,6.12,1.02,0.6
2011-02-01 00:08:17,1,2921,495,-73.995098,40.733981,-73.997775,40.724326,5.7,CSH,6.7,,1.3
2011-02-01 00:08:19,1,2564,824,-73.99098399999998,40.761055,-73.98263699999998,40.757382,4.1,CSH,5.1,,0.5
2011-02-01 00:08:23,1,1128,569,-73.99404699999998,40.761763,-73.954256,40.821476000000004,13.3,CSH,14.3,,5.1
2011-02-01 00:08:24,2,1143,3272,-73.97213,40.762477000000004,-73.94952499999998,40.79619,7.7,CSH,8.699999999999998,,2.6
2011-02-01 00:08:26,2,2567,2070,-73.98807099999999,40.764665,-73.994916,40.745151,6.5,CSH,7.5,,1.6
2011-02-01 00:08:26,1,2500,1786,-73.974512,40.753572,-73.980666,40.733902,6.1,CRD,8.519999999999998,1.42,1.7
2011-02-01 00:08:27,1,1142,2992,-73.974102,40.762727000000005,-73.95464399999999,40.777963,6.9,CRD,9.48,1.58,1.9
