id,node_lon,node_lat,center_id,center_lon,center_lat
3404,-74.0087517,40.7430653,655,-74.0074994,40.7409399
3405,-74.0079278,40.742541,655,-74.0074994,40.7409399
3406,-74.0101186,40.7385169,655,-74.0074994,40.7409399
3407,-74.0099059,40.7388125,655,-74.0074994,40.7409399
3408,-74.0068423,40.754568,3388,-74.0010621,40.7619572
3409,-74.0107672,40.7291341,2279,-74.0083464,40.7259304
3410,-74.0150379,40.7098348,3063,-74.0140487,40.7090879
3411,-74.0146457,40.7111302,3063,-74.0140487,40.7090879
3412,-74.0135493,40.715284,3063,-74.0140487,40.7090879
3413,-74.0122755,40.7203353,2279,-74.0083464,40.7259304
3414,-74.01304,40.7172634,3063,-74.0140487,40.7090879
3415,-74.0132223,40.7165276,3063,-74.0140487,40.7090879
3416,-74.0169087,40.7048317,3063,-74.0140487,40.7090879
3417,-74.0112014,40.7257225,2279,-74.0083464,40.7259304
3418,-74.0112853,40.7252103,2279,-74.0083464,40.7259304
3419,-74.0118544,40.7223501,2279,-74.0083464,40.7259304
3420,-74.0117188,40.7229994,2279,-74.0083464,40.7259304
3421,-74.0106787,40.7298427,655,-74.0074994,40.7409399
3422,-74.017352,40.7049176,3063,-74.0140487,40.7090879
3423,-74.0160121,40.7071601,3063,-74.0140487,40.7090879
3424,-74.0158047,40.7070531,3063,-74.0140487,40.7090879
3425,-74.0155122,40.7077008,3063,-74.0140487,40.7090879
3426,-74.0164164,40.7048817,3063,-74.0140487,40.7090879
3427,-74.0050215,40.7570643,3388,-74.0010621,40.7619572
3428,-74.0019615,40.7612953,3388,-74.0010621,40.7619572
3429,-73.9947945,40.7693529,3227,-73.988561,40.7691175
3430,-73.9949384,40.7700378,3227,-73.988561,40.7691175
3431,-73.9943576,40.7698656,3227,-73.988561,40.7691175
3432,-73.9942154,40.770639,3227,-73.988561,40.7691175
3433,-73.9937554,40.7713252,3227,-73.988561,40.7691175
3434,-73.9932046,40.7727853,3227,-73.988561,40.7691175
3435,-73.9947172,40.771394,87,-73.9898474,40.777978
3436,-73.9772661,40.7726853,1429,-73.9759718,40.7762237
3437,-73.9776645,40.7717082,1429,-73.9759718,40.7762237
3438,-73.969703,40.7487554,2606,-73.973512,40.743782
3439,-73.96703,40.7523276,3705,-73.9674498,40.7518428
3440,-73.9508067,40.8313944,98,-73.948081,40.8381133
3441,-73.957871,40.8224172,85,-73.95433146179178,40.826599816294795
3442,-73.9640654,40.8155192,1886,-73.9607274,40.8175155
3443,-74.011617,40.7136173,3063,-74.0140487,40.7090879
3444,-74.0081091,40.7120089,4523,-74.0008317,40.7130749
3445,-74.0063041,40.7141733,4523,-74.0008317,40.7130749
3446,-74.017764,40.7079616,3063,-74.0140487,40.7090879
3447,-73.9741568,40.72445,904,-73.982228,40.727846
3448,-73.9745044,40.7245958,904,-73.982228,40.727846
3449,-74.0000372,40.7080905,3392,-74.0095878,40.7020107
3450,-73.9939847,40.7093172,4523,-74.0008317,40.7130749
3451,-74.0001685,40.708574,4523,-74.0008317,40.7130749
3452,-73.9993088,40.708495,14,-73.985987,40.7104777
3453,-73.9994304,40.7082883,4523,-74.0008317,40.7130749
3454,-74.0009031,40.7095901,4523,-74.0008317,40.7130749
3455,-74.0015481,40.7096039,4523,-74.0008317,40.7130749
3456,-74.0137888,40.7023934,3392,-74.0095878,40.7020107
3457,-74.0179459,40.7069912,3063,-74.0140487,40.7090879
3458,-73.933427,40.8630268,3458,-73.933427,40.8630268
3459,-74.0058581,40.7331346,2279,-74.0083464,40.7259304
3460,-74.0009811,40.7488385,3461,-73.9980331,40.7510669
3461,-73.9980331,40.7510669,3461,-73.9980331,40.7510669
3462,-74.0048445,40.7124759,4523,-74.0008317,40.7130749
3463,-74.0120124,40.7016074,3392,-74.0095878,40.7020107
3464,-74.0077898,40.703049,3392,-74.0095878,40.7020107
3465,-74.0090399,40.7024287,37,-74.0053317,40.7047379
3466,-73.9805509,40.7109349,2161,-73.9867058,40.7159628
3467,-73.9823467,40.7108766,2161,-73.9867058,40.7159628
3468,-73.9755366,40.7165045,3468,-73.9755366,40.7165045
3469,-73.9763409,40.7191978,3468,-73.9755366,40.7165045
3470,-73.9754354,40.7190113,3468,-73.9755366,40.7165045
3471,-73.9745509,40.7212873,3468,-73.9755366,40.7165045
3472,-73.9741719,40.73053,3473,-73.9716488,40.7282767
3473,-73.9716488,40.7282767,3473,-73.9716488,40.7282767
3474,-73.9721522,40.7296229,3473,-73.9716488,40.7282767
3475,-73.9728988,40.7406713,2606,-73.973512,40.743782
3476,-73.9743582,40.7373401,3473,-73.9716488,40.7282767
3477,-73.9729172,40.7397659,3296,-73.9730967,40.7389627
3478,-73.9713381,40.7441991,3296,-73.9730967,40.7389627
3479,-73.9640192,40.7529089,3524,-73.9582084,40.7593476
3480,-73.9633251,40.753394,3705,-73.9674498,40.7518428
3481,-73.9631956,40.7542669,3705,-73.9674498,40.7518428
3482,-73.9629273,40.7600259,3705,-73.9674498,40.7518428
3483,-73.9560856,40.761127,399,-73.953249,40.7675414
3484,-73.9583831,40.7590213,3705,-73.9674498,40.7518428
3485,-73.9558377,40.761183,399,-73.953249,40.7675414
3486,-73.9504944,40.7672359,399,-73.953249,40.7675414
3487,-73.9473388,40.7709708,399,-73.953249,40.7675414
3488,-73.9468096,40.7715895,399,-73.953249,40.7675414
3489,-73.9440144,40.7809188,64,-73.9444824,40.7730754
3490,-73.9420913,40.7842992,416,-73.9452574,40.7784828
3491,-73.9297581,40.7961626,212,-73.9304732,40.794774
3492,-73.9293305,40.7974207,4200,-73.9301013,40.8020974
3493,-73.9298866,40.8001589,4200,-73.9301013,40.8020974
3494,-73.9291404,40.7974178,108,-73.9359024,40.7912126
3495,-73.9313812,40.801846,4200,-73.9301013,40.8020974
3496,-73.9346747,40.8081765,3676,-73.9370658,40.8075561
3497,-73.9348875,40.809623,68,-73.931109,40.8045547
3498,-73.9361076,40.8147669,273,-73.934348,40.8187778
3499,-73.9340075,40.8169771,273,-73.934348,40.8187778
3500,-73.9355403,40.8267488,4387,-73.9356338,40.8315482
3501,-73.9352662,40.8266342,4387,-73.9356338,40.8315482
3502,-73.9345792,40.8280476,4387,-73.9356338,40.8315482
3503,-73.9349748,40.8281921,4387,-73.9356338,40.8315482
3504,-73.934936,40.8300525,80,-73.93442,40.8255167
3505,-73.9334951,40.8382331,4387,-73.9356338,40.8315482
3506,-73.9333826,40.8065748,3676,-73.9370658,40.8075561
3507,-73.9344467,40.8079924,3676,-73.9370658,40.8075561
3508,-73.9361454,40.8307831,4387,-73.9356338,40.8315482
3509,-73.9349789,40.8363293,3331,-73.933289,40.838994
3510,-73.9305458,40.8454272,3510,-73.9305458,40.8454272
3511,-73.9354432,40.8102102,3676,-73.9370658,40.8075561
3512,-74.0139365,40.7137964,3063,-74.0140487,40.7090879
3513,-74.0082867,40.7455892,655,-74.0074994,40.7409399
3514,-73.9315115,40.8690931,3458,-73.933427,40.8630268
3515,-73.9322336,40.8664124,3458,-73.933427,40.8630268
3516,-73.9327916,40.8663173,3458,-73.933427,40.8630268
3517,-73.9333479,40.8642126,3458,-73.933427,40.8630268
3518,-73.931822,40.863864,3458,-73.933427,40.8630268
3519,-74.0048213,40.7416415,655,-74.0074994,40.7409399
3520,-73.9789954,40.7361899,4319,-73.9864129,40.7402115
3521,-73.9840861,40.7375427,4319,-73.9864129,40.7402115
3522,-74.0086875,40.7423524,655,-74.0074994,40.7409399
3523,-74.0088706,40.7424626,655,-74.0074994,40.7409399
3524,-73.9582084,40.7593476,3524,-73.9582084,40.7593476
3525,-73.9716337,40.7438673,2606,-73.973512,40.743782
3526,-73.9987433,40.7593183,3388,-74.0010621,40.7619572
3527,-73.9978758,40.7581825,3388,-74.0010621,40.7619572
